Country,Name,Month,Last,High,Low,Chg.,Chg%,Date/Time
United States,US 30,,38145.7,38376.5,37971.5,162.5,0.43,2024-04-15 12:02:34
United States,US 500,,5140.7,5169.9,5122.9,17.3,0.34,2024-04-15 12:02:33
United States,US Tech 100,,18043.1,18178.5,17981.5,39.6,0.22,2024-04-15 12:02:35
United States,Small Cap 2000,,1998.0,2019.5,1985.3,-5.2,-0.26,2024-04-15 12:02:34
United States,S&P 500 VIX,May,16.88,17.5,16.48,-0.24,-1.38,2024-04-15 12:00:24
Germany,DAX,June,18263.0,18422.5,18079.0,131.0,0.72,2024-04-15 12:02:32
France,CAC 40,May,7983.2,8060.2,7910.4,39.7,0.5,2024-04-15 12:02:34
United Kingdom,FTSE 100,June,7988.2,8031.2,7955.0,32.1,0.4,2024-04-15 12:02:34
Euro Zone,Euro Stoxx 50,June,4942.0,4990.0,4894.0,42.0,0.86,2024-04-15 12:00:42
Italy,FTSE MIB,June,33360.0,33660.0,33180.0,226.0,0.68,2024-04-15 12:02:33
Switzerland,SMI,June,11329.5,11393.5,11300.5,31.5,0.28,2024-04-15 12:00:18
Spain,IBEX 35,May,10661.5,10735.0,10626.0,10.5,0.1,2024-04-15 12:00:20
Russia,RTS,,115250.0,115590.0,113850.0,960.0,0.84,
Poland,WIG20,June,2438.0,2462.0,2430.0,9.0,0.37,2024-04-15 11:04:00
Netherlands,AEX,May,879.7,885.53,876.08,1.57,0.18,2024-04-15 12:02:35
Brazil,iBovespa,,126184.0,126634.0,125632.0,234.0,0.19,2024-04-15 12:00:00
Japan,Nikkei 225,June,39237.5,39507.5,38835.0,362.5,0.93,2024-04-15 12:00:31
Japan,TOPIX,,2751.5,2760.0,2717.0,-6.5,-0.24,2024-04-15 01:00:00
Hong Kong,Hang Seng,April,16530.0,16667.5,16372.0,50.0,0.3,2024-04-15 12:02:32
Hong Kong,China H-Shares,,5900.0,6017.0,5880.0,-125.0,-2.07,
China,CSI 300,,3479.6,3518.0,3465.2,-24.8,-0.71,
Singapore,China A50,April,12210.0,12251.0,11839.0,308.0,2.59,2024-04-15 11:59:43
Australia,S&P/ASX 200,June,7771.0,7820.5,7759.5,-1.0,-0.01,2024-04-15 12:00:19
Singapore,Singapore MSCI,April,287.57,289.57,285.5,-4.78,-1.64,2024-04-15 12:00:16
India,Nifty 50,April,22363.0,22518.0,22343.0,-238.45,-1.06,2024-04-15 06:00:00
India,Bank NIFTY,April,47828.95,48449.85,47573.75,-885.15,-1.82,2024-04-15 05:59:59
South Korea,KOSPI 200,June,366.95,367.4,362.6,-1.7,-0.46,2024-04-15 02:09:52
Singapore,SGX FTSE Taiwan F,April,1720.5,1728.5,1717.5,-2.0,-0.12,2024-04-15 11:57:37
South Africa,South Africa 40,June,68836.0,69724.0,68795.0,-785.0,-1.13,2024-04-15 11:29:00
Germany,TecDAX,June,3374.5,3377.25,3348.0,20.5,0.61,2024-04-15 12:00:17
